"Name + Job Title","Are you a decision maker for this project?","Who else should be involved in this process, if anyone?","Tell us a little bit about your role and relationship to the organization.","From your point of view, what are the 3-4 most important initiatives for the organization and why?","What prompted you to seek a new/redesigned website at this time?","Who is your audience? (Be specific: think age, gender, demographics, etc.)","What is your audience's motivation for interacting with your organization?","What are the top 2-3 messages you would like to immediately communicate to all website visitors?","What are some obstacles or misconceptions about the organization that you need this website to address?","Who do you consider competitors or peers? You can also provide websites you admire.","What are five words that describe the organization? (If the organization were a person, how would you describe them?)","What else would you like to share with us about the organization and this project?"
"","","","","","","","","","","","",""
